iter	Passed	Remaining
257	1160	3338
258	1165	3333
259	1169	3329
260	1173	3322
261	1178	3318
262	1182	3313
263	1186	3308
264	1191	3303
265	1195	3299
266	1199	3294
267	1204	3290
268	1208	3283
269	1212	3278
270	1216	3272
271	1220	3266
272	1224	3260
273	1229	3256
274	1233	3251
275	1237	3247
276	1242	3241
277	1246	3237
278	1251	3232
279	1255	3229
280	1259	3222
281	1263	3218
282	1268	3213
283	1272	3208
284	1277	3204
285	1282	3201
286	1287	3197
287	1291	3191
288	1295	3186
289	1299	3182
290	1304	3178
291	1308	3173
292	1312	3167
293	1317	3163
294	1321	3159
295	1326	3153
296	1330	3149
297	1335	3145
298	1339	3140
299	1344	3136
300	1348	3132
301	1353	3127
302	1357	3121
303	1361	3116
304	1365	3112
305	1370	3107
306	1373	3101
307	1378	3096
308	1383	3093
309	1387	3088
310	1391	3083
311	1396	3078
312	1401	3075
313	1405	3069
314	1409	3065
315	1413	3060
316	1417	3054
317	1421	3049
318	1426	3044
319	1430	3039
320	1434	3034
321	1438	3029
322	1442	3023
323	1447	3020
324	1452	3016
325	1456	3011
326	1460	3006
327	1464	3001
328	1469	2997
329	1473	2991
330	1477	2985
331	1482	2982
332	1486	2976
333	1490	2972
334	1495	2968
335	1499	2963
336	1503	2958
337	1508	2954
338	1513	2950
339	1517	2946
340	1521	2940
341	1526	2936
342	1531	2933
343	1535	2928
344	1539	2923
345	1544	2919
346	1548	2914
347	1553	2909
348	1557	2905
349	1561	2900
350	1566	2895
351	1570	2891
352	1574	2885
353	1578	2880
354	1582	2875
355	1587	2871
356	1591	2866
357	1595	2860
358	1599	2855
359	1603	2850
360	1607	2844
361	1611	2839
362	1615	2835
363	1620	2831
364	1624	2826
365	1629	2822
366	1633	2817
367	1637	2813
368	1641	2807
369	1645	2802
370	1649	2796
371	1652	2790
372	1656	2784
373	1660	2779
374	1665	2775
375	1669	2770
376	1673	2764
377	1677	2760
378	1681	2754
379	1685	2749
380	1689	2745
381	1695	2742
382	1699	2738
383	1703	2732
384	1708	2728
385	1712	2724
386	1716	2719
387	1720	2714
388	1725	2709
389	1730	2707
390	1734	2702
391	1738	2697
392	1744	2693
393	1749	2690
394	1752	2684
395	1756	2679
396	1761	2675
397	1765	2671
398	1770	2666
399	1774	2662
400	1780	2659
401	1784	2654
402	1788	2649
403	1794	2646
404	1798	2642
405	1802	2637
406	1807	2633
407	1812	2629
408	1816	2625
409	1820	2620
410	1825	2616
411	1830	2612
412	1834	2607
413	1839	2603
414	1844	2600
415	1848	2595
416	1853	2590
417	1857	2585
418	1862	2582
419	1866	2577
420	1870	2572
421	1875	2568
422	1880	2564
423	1884	2560
424	1888	2555
425	1893	2551
